"SUID","BH","name","selected","shared name","uidA","uidB"
"1129","1.0","ACY3","false","ACY3","A0A024R5L2",""
"1130","0.472922252010724","CNOT6","false","CNOT6","","Q9ULM6"
"1131","0.258745874587459","GLA","false","GLA","P06280","P06280"
"1132","0.00450255102040816","YWHAB","false","YWHAB","P31946","P31946"
"1133","0.00450255102040816","FOXK1","false","FOXK1","P85037","P85037"
"1134","0.979001019367992","DDIT3","false","DDIT3","P35638","P35638"
"1135","1.0","DUSP8","false","DUSP8","Q13202","Q13202"
"1136","0.00450255102040816","SLX4","false","SLX4","Q8IY92","Q8IY92"
"1137","0.00450255102040816","RFC4","false","RFC4","","P35249"
"1138","0.118787878787879","ZW10","false","ZW10","O43264","O43264"
"1139","1.0","CENPE","false","CENPE","Q02224","Q02224"
"1140","1.0","INPP5D","false","INPP5D","Q92835","Q92835"
"1141","0.00450255102040816","RASGRF1","false","RASGRF1","Q13972","Q13972"
"1142","0.00450255102040816","PDE3B","false","PDE3B","Q13370","Q13370"
"1143","0.282692307692308","PDGFRB","false","PDGFRB","P09619","P09619"
"1144","0.930379746835443","PLD2","false","PLD2","O14939","O14939"
"1145","0.967901234567901","CHAT","false","CHAT","P28329","P28329"
"1146","0.00450255102040816","TP53","false","TP53","K7PPA8","K7PPA8"
"1147","0.00450255102040816","SMC2","false","SMC2","","A0A024R158"
"1148","1.0","NCAPH2","false","NCAPH2","Q6IBW4",""
"1149","0.777777777777778","CABIN1","false","CABIN1","A0A024R1E5","A0A024R1E5"
"1150","0.848390677025527","KCNA3","false","KCNA3","P22001","P22001"
"1151","0.00450255102040816","DSC1","false","DSC1","Q08554","Q08554"
